ts,magnitudes,longitude,latitude,,
2024/2/11 5:0:26.58,1.9,75.766,40.087,,
2024/2/11 4:24:35.575,2.2,78.679,41.075,,
2024/2/11 4:4:18.759,2.2,78.741,41.179,,
2024/2/11 3:55:11.26,2.1,87.743,44.217,,
2024/2/11 3:50:39.983,2.1,87.72,44.22,,
2024/2/11 2:4:43.12,2.2,85.24,38.032,,
2024/2/11 2:2:52.526,3.1,85.247,38.125,,
2024/2/11 1:55:14.641,1.9,78.824,41.303,,
2024/2/10 23:59:27.632,2.1,78.379,40.824,,
2024/2/10 23:56:5.866,2.2,77.219,36.451,,
2024/2/10 23:8:58.824,2.8,78.361,40.976,,
2024/2/10 19:37:51.335,1.9,83.14,46.818,,
2024/2/10 17:36:3.598,3.4,77.034,36.37,,
2024/2/10 14:0:18.194,2.5,83.826,40.259,,
2024/2/10 12:51:16.078,2,78.783,41.406,,
2024/2/10 12:14:7.012,1.9,78.65,41.134,,
2024/2/10 10:50:21.46,2.4,78.653,41.145,,
2024/2/10 10:8:57.75,2.6,84.73,43.402,,
2024/2/10 9:43:42.04,2.1,89.276,44.752,,
2024/2/10 9:8:29.63,2,88.707,43.239,,
2024/2/10 8:41:1.186,3.4,78.797,41.188,,
2024/2/10 8:29:37.898,3,78.496,40.992,,
2024/2/10 7:8:10.461,3,78.789,41.1,,
2024/2/10 5:50:44.792,1.9,78.485,41.008,,
2024/2/10 4:11:51.189,1.9,78.784,41.348,,
2024/2/10 4:10:58.754,2,78.775,41.302,,
2024/2/10 1:53:8.522,2.4,78.414,41.13,,
2024/2/9 23:28:6.345,2.7,78.68,41.135,,
2024/2/9 23:20:6.664,2.4,83.898,41.171,,
2024/2/9 23:14:17.854,2,78.66,41.147,,
2024/2/9 19:20:54.311,2.5,83.598,41.368,,
